timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1608184398709,297,GET All Activities,200,OK,Stress Test 1-1,text,true,,3079,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,297,0,270
1608184399007,18,Post All Activities,200,OK,Stress Test 1-1,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,18,0,0
1608184399025,19,Get Specified Activity,200,OK,Stress Test 1-1,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=3,19,0,0
1608184399044,22,Put Specified Activity,200,OK,Stress Test 1-1,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/3,22,0,0
1608184399214,86,GET All Activities,200,OK,Stress Test 1-2,text,true,,3079,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,86,0,60
1608184399300,20,Post All Activities,200,OK,Stress Test 1-2,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,20,0,0
1608184399320,19,Get Specified Activity,200,OK,Stress Test 1-2,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=5,19,0,0
1608184399339,20,Put Specified Activity,200,OK,Stress Test 1-2,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/5,20,0,0
1608184399711,81,GET All Activities,200,OK,Stress Test 1-3,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,81,0,57
1608184399792,18,Post All Activities,200,OK,Stress Test 1-3,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,18,0,0
1608184399811,19,Get Specified Activity,200,OK,Stress Test 1-3,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=7,19,0,0
1608184399830,21,Put Specified Activity,200,OK,Stress Test 1-3,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/7,21,0,0
1608184400215,100,GET All Activities,200,OK,Stress Test 1-4,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,100,0,68
1608184400315,19,Post All Activities,200,OK,Stress Test 1-4,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,19,0,0
1608184400334,19,Get Specified Activity,200,OK,Stress Test 1-4,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=9,19,0,0
1608184400353,21,Put Specified Activity,200,OK,Stress Test 1-4,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/9,21,0,0
1608184400715,76,GET All Activities,200,OK,Stress Test 1-5,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,76,0,56
1608184400791,19,Post All Activities,200,OK,Stress Test 1-5,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,19,0,0
1608184400810,18,Get Specified Activity,200,OK,Stress Test 1-5,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=1,18,0,0
1608184400828,20,Put Specified Activity,200,OK,Stress Test 1-5,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/1,20,0,0
1608184401213,77,GET All Activities,200,OK,Stress Test 1-6,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,77,0,57
1608184401290,18,Post All Activities,200,OK,Stress Test 1-6,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,18,0,0
1608184401309,17,Get Specified Activity,200,OK,Stress Test 1-6,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=3,17,0,0
1608184401326,20,Put Specified Activity,200,OK,Stress Test 1-6,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/3,20,0,0
1608184401712,86,GET All Activities,200,OK,Stress Test 1-7,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,86,0,65
1608184401799,22,Post All Activities,200,OK,Stress Test 1-7,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,22,0,0
1608184401821,20,Get Specified Activity,200,OK,Stress Test 1-7,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=5,20,0,0
1608184401841,20,Put Specified Activity,200,OK,Stress Test 1-7,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/5,20,0,0
1608184402211,78,GET All Activities,200,OK,Stress Test 1-8,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,78,0,59
1608184402289,20,Post All Activities,200,OK,Stress Test 1-8,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,20,0,0
1608184402309,19,Get Specified Activity,200,OK,Stress Test 1-8,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=7,19,0,0
1608184402328,18,Put Specified Activity,200,OK,Stress Test 1-8,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/7,18,0,0
1608184402709,81,GET All Activities,200,OK,Stress Test 1-9,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,81,0,61
1608184402790,24,Post All Activities,200,OK,Stress Test 1-9,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,24,0,0
1608184402814,19,Get Specified Activity,200,OK,Stress Test 1-9,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=9,19,0,0
1608184402833,19,Put Specified Activity,200,OK,Stress Test 1-9,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/9,19,0,0
1608184403214,91,GET All Activities,200,OK,Stress Test 1-10,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,91,0,70
1608184403305,28,Post All Activities,200,OK,Stress Test 1-10,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,28,0,0
1608184403334,21,Get Specified Activity,200,OK,Stress Test 1-10,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=1,21,0,0
1608184403355,22,Put Specified Activity,200,OK,Stress Test 1-10,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/1,22,0,0
1608184489670,597,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,180,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,597,0,560
1608184490270,22,Post All Activities,200,OK,Endurance Test 1-1,text,true,,337,309,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities,22,0,0
1608184490292,20,Get Specified Activity,200,OK,Endurance Test 1-1,text,true,,352,160,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/?id=3,20,0,0
1608184490312,19,Put Specified Activity,200,OK,Endurance Test 1-1,text,true,,337,336,1,1,https://codingapp-appservice.azurewebsites.net/api/Activities/3,19,0,0
